interval,day,week,classifier,score
27,Monday,24,Adventure_Sport,0.715546
30,Monday,24,Adventure_Sport,0.771681
28,Monday,24,Adventure_Sport,0.740426
40,Wednesday,24,Adventure_Sport,0.818435
40,Wednesday,24,Adventure_Sport,0.81885
35,Monday,24,Adventure_Sport,0.898989
36,Sunday,24,Adventure_Sport,0.827404
76,Wednesday,24,Adventure_Sport,0.783305
81,Sunday,24,Adventure_Sport,0.824789
85,Tuesday,22,Adventure_Sport,0.796318
78,Wednesday,22,Adventure_Sport,0.807944
89,Tuesday,22,Adventure_Sport,0.62688
29,Monday,24,Adventure_Sport,0.80405
30,Monday,24,Adventure_Sport,0.837935
30,Monday,24,Adventure_Sport,0.818992
30,Monday,24,Adventure_Sport,0.873188
30,Monday,24,Adventure_Sport,0.87149
34,Monday,24,Adventure_Sport,0.876876
35,Monday,24,Adventure_Sport,0.871995
85,Tuesday,22,Adventure_Sport,0.712305
1,Thursday,22,Adventure_Sport,0.84957
70,Thursday,24,Adventure_Sport,0.722809
33,Tuesday,24,Adventure_Sport,0.783112
80,Thursday,24,Adventure_Sport,0.843536
47,Monday,24,Adventure_Sport,0.794898
31,Wednesday,24,Adventure_Sport,0.894592
89,Monday,24,Adventure_Sport,0.71351
30,Friday,24,Adventure_Sport,0.737403
32,Thursday,22,Adventure_Sport,0.800195
39,Wednesday,22,Adventure_Sport,0.728997
40,Wednesday,24,Adventure_Sport,0.83643
80,Wednesday,22,Adventure_Sport,0.80398
70,Wednesday,22,Adventure_Sport,0.804743
33,Wednesday,24,Adventure_Sport,0.87038
34,Wednesday,24,Adventure_Sport,0.840584
48,Friday,22,Adventure_Sport,0.793561
31,Thursday,24,Adventure_Sport,0.85917
35,Thursday,22,Adventure_Sport,0.851323
48,Sunday,23,Adventure_Sport,0.841026
31,Thursday,23,Adventure_Sport,0.849051
79,Wednesday,22,Adventure_Sport,0.849186
76,Wednesday,24,Adventure_Sport,0.713904
93,Thursday,22,Adventure_Sport,0.751987
58,Saturday,24,Adventure_Sport,0.866556
51,Thursday,24,Adventure_Sport,0.766417
31,Thursday,24,Adventure_Sport,0.874867
34,Thursday,24,Adventure_Sport,0.845617
31,Thursday,24,Adventure_Sport,0.734835
28,Sunday,25,Adventure_Sport,0.739962
34,Thursday,22,Adventure_Sport,0.881283
81,Thursday,22,Adventure_Sport,0.87591
28,Friday,24,Adventure_Sport,0.815039
30,Sunday,25,Adventure_Sport,0.803926
81,Wednesday,22,Adventure_Sport,0.823559
32,Saturday,23,Adventure_Sport,0.788758
39,Saturday,23,Adventure_Sport,0.869788
30,Saturday,24,Adventure_Sport,0.795675
30,Sunday,24,Adventure_Sport,0.879883
30,Sunday,24,Adventure_Sport,0.876482
59,Sunday,25,Adventure_Sport,0.848995
30,Sunday,24,Adventure_Sport,0.870791
30,Sunday,24,Adventure_Sport,0.885716
83,Friday,23,Adventure_Sport,0.602967
28,Monday,24,Adventure_Sport,0.757472
36,Monday,24,Adventure_Sport,0.874558
27,Monday,24,Adventure_Sport,0.797711
68,Saturday,24,Adventure_Sport,0.8094
37,Monday,25,Adventure_Sport,0.799956
73,Saturday,24,Adventure_Sport,0.80911
37,Monday,25,Adventure_Sport,0.787035
76,Saturday,24,Adventure_Sport,0.83954
70,Monday,25,Adventure_Sport,0.804949
41,Sunday,25,Adventure_Sport,0.811834
39,Monday,25,Adventure_Sport,0.843608
39,Monday,25,Adventure_Sport,0.879425
35,Monday,24,Adventure_Sport,0.882843
40,Monday,25,Adventure_Sport,0.781915
36,Monday,24,Adventure_Sport,0.875977
58,Monday,25,Adventure_Sport,0.794674
40,Saturday,23,Adventure_Sport,0.865322
74,Saturday,23,Adventure_Sport,0.807254
67,Saturday,23,Adventure_Sport,0.749718
29,Sunday,24,Adventure_Sport,0.876929
88,Monday,24,Adventure_Sport,0.73397
