classifier,score,id,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second
Adventure_Sport,0.84113,20160610200338-216-00,2016,06,10,20,03,38
Adventure_Sport,0.865624,20160601202040-103-01,2016,06,01,20,20,40
Adventure_Sport,0.671367,20160610211016-231-01,2016,06,10,21,10,16
Adventure_Sport,0.825049,20160616080645-971-00,2016,06,16,08,06,45
Adventure_Sport,0.881046,20160619085828-1391-00,2016,06,19,08,58,28
Adventure_Sport,0.818416,20160618021427-1244-00,2016,06,18,02,14,27
Adventure_Sport,0.852914,20160603115716-138-01,2016,06,03,11,57,16
Adventure_Sport,0.883048,20160612073257-382-01,2016,06,12,07,32,57
Adventure_Sport,0.811081,20160618114816-1296-00,2016,06,18,11,48,16
Adventure_Sport,0.869307,20160619195741-1515-00,2016,06,19,19,57,41
Adventure_Sport,0.877714,20160620060105-1534-00,2016,06,20,06,01,05
Adventure_Sport,0.660997,20160610205908-227-01,2016,06,10,20,59,08
Adventure_Sport,0.875906,20160608080946-182-00,2016,06,08,08,09,46
Adventure_Sport,0.835767,20160618054942-1245-00,2016,06,18,05,49,42
Adventure_Sport,0.894726,20160610085359-213-00,2016,06,10,08,53,59
Adventure_Sport,0.851802,20160619080627-1380-00,2016,06,19,08,06,27
Adventure_Sport,0.861235,20160620183304-1639-01,2016,06,20,18,33,04
Adventure_Sport,0.891899,20160613083514-560-01,2016,06,13,08,35,14
Adventure_Sport,0.827038,20160612054638-344-01,2016,06,12,05,46,38
Adventure_Sport,0.830976,20160615062941-780-00,2016,06,15,06,29,41
Adventure_Sport,0.869034,20160612220621-505-00,2016,06,12,22,06,21
Adventure_Sport,0.851779,20160613080752-551-00,2016,06,13,08,07,52
Adventure_Sport,0.878662,20160614184748-766-00,2016,06,14,18,47,48
Adventure_Sport,0.859193,20160615074041-790-01,2016,06,15,07,40,41
Adventure_Sport,0.82446,20160615075741-796-01,2016,06,15,07,57,41
Adventure_Sport,0.872126,20160618195539-1344-01,2016,06,18,19,55,39
Adventure_Sport,0.888792,20160620072805-1543-00,2016,06,20,07,28,05
Adventure_Sport,0.837317,20160619074702-1377-00,2016,06,19,07,47,02
Adventure_Sport,0.89284,20160620072853-1544-00,2016,06,20,07,28,53
Adventure_Sport,0.857156,20160620183825-1641-00,2016,06,20,18,38,25
Adventure_Sport,0.846122,20160617054649-1097-01,2016,06,17,05,46,49
Adventure_Sport,0.871535,20160620183845-1642-00,2016,06,20,18,38,45
Adventure_Sport,0.852595,20160617065617-1110-00,2016,06,17,06,56,17
Adventure_Sport,0.744842,20160620062830-1537-00,2016,06,20,06,28,30
Adventure_Sport,0.838419,20160618190242-1333-00,2016,06,18,19,02,42
Adventure_Sport,0.856522,20160619074450-1375-01,2016,06,19,07,44,50
Adventure_Sport,0.847935,20160619085621-1388-00,2016,06,19,08,56,21
Adventure_Sport,0.849783,20160620200735-1649-01,2016,06,20,20,07,35
Adventure_Sport,0.885823,20160525055227-05-00,2016,05,25,05,52,27
Adventure_Sport,0.851439,20160526124719-197-00,2016,05,26,12,47,19
Adventure_Sport,0.799861,20160527071018-293-01,2016,05,27,07,10,18
Adventure_Sport,0.828071,20160527090445-351-01,2016,05,27,09,04,45
Adventure_Sport,0.764717,20160527102852-402-01,2016,05,27,10,28,52
Adventure_Sport,0.818648,20160527112921-419-00,2016,05,27,11,29,21
Adventure_Sport,0.76394,20160527092334-377-01,2016,05,27,09,23,34
Adventure_Sport,0.810605,20160527213507-484-01,2016,05,27,21,35,07
Adventure_Sport,0.785215,20160528053126-486-00,2016,05,28,05,31,26
Adventure_Sport,0.806574,20160527094354-389-01,2016,05,27,09,43,54
Adventure_Sport,0.824732,20160527095152-395-00,2016,05,27,09,51,52
Adventure_Sport,0.841751,20160527135206-456-01,2016,05,27,13,52,06
Adventure_Sport,0.799653,20160527173836-474-01,2016,05,27,17,38,36
Adventure_Sport,0.816411,20160527112830-418-01,2016,05,27,11,28,30
