interval,day,week,classifier,score
68,Wednesday,14,person,0.989013
69,Wednesday,14,person,0.75026
42,Thursday,14,person,0.377541
42,Thursday,14,person,0.310026
67,Thursday,14,person,0.731059
37,Wednesday,14,person,0.937027
44,Thursday,14,person,0.999447
69,Wednesday,14,person,0.268941
44,Thursday,14,person,0.268941
32,Thursday,14,person,0.880797
70,Wednesday,14,person,0.998499
70,Wednesday,14,person,0.970688
70,Wednesday,14,person,0.998993
71,Wednesday,14,person,0.450166
73,Wednesday,14,person,0.5
64,Wednesday,14,person,0.710949
59,Thursday,14,person,0.377541
72,Thursday,14,person,0.310026
65,Wednesday,14,person,0.768525
68,Wednesday,14,person,0.956893
82,Wednesday,14,person,0.475021
72,Thursday,14,person,0.401312
83,Wednesday,14,person,0.310026
39,Thursday,14,person,0.916827
69,Wednesday,14,person,0.731059
71,Wednesday,14,person,0.916827
81,Wednesday,14,person,0.268941
74,Thursday,14,person,0.998499
75,Thursday,14,person,0.990048
84,Wednesday,14,person,0.622459
75,Thursday,14,person,0.425557
64,Thursday,14,person,0.354344
84,Wednesday,14,person,0.331812
65,Thursday,14,person,0.331812
64,Thursday,14,person,0.689974
71,Thursday,14,person,0.268941
70,Thursday,14,person,0.990048
77,Thursday,14,person,0.524979
26,Thursday,14,person,0.425557
79,Thursday,14,person,0.310026
28,Thursday,14,person,0.622459
83,Thursday,14,person,0.900249
28,Thursday,14,person,0.998887
29,Thursday,14,person,0.999629
86,Thursday,14,person,0.994514
29,Thursday,14,person,0.985226
72,Thursday,14,person,0.645656
42,Thursday,14,person,0.598688
72,Thursday,14,person,0.450166
72,Thursday,14,person,0.354344
29,Thursday,14,person,0.574443
74,Thursday,14,person,0.310026
29,Thursday,14,person,0.668188
64,Thursday,14,person,0.354344
43,Thursday,14,person,0.28905
64,Thursday,14,person,0.354344
80,Thursday,14,person,0.28905
71,Thursday,14,person,0.5
77,Thursday,14,person,0.598688
81,Thursday,14,person,0.964429
78,Thursday,14,person,0.310026
43,Thursday,14,person,0.331812
71,Thursday,14,person,0.425557
72,Thursday,14,person,0.930862
72,Thursday,14,person,0.401312
86,Thursday,14,person,0.937027
78,Thursday,14,person,0.401312
73,Thursday,14,person,0.450166
78,Thursday,14,person,0.869892
73,Thursday,14,person,0.549834
41,Thursday,14,person,0.331812
27,Thursday,14,person,0.450166
78,Thursday,14,person,0.331812
44,Thursday,14,person,0.354344
42,Thursday,14,person,0.5
74,Thursday,14,person,0.967705
92,Thursday,14,person,0.310026
46,Thursday,14,person,0.268941
26,Friday,14,person,0.999389
66,Thursday,14,person,0.28905
79,Thursday,14,person,0.987872
28,Friday,14,person,0.890903
66,Thursday,14,person,0.310026
28,Thursday,14,person,0.425557
43,Thursday,14,person,0.28905
67,Thursday,14,person,0.310026
29,Friday,14,person,0.768525
29,Thursday,14,person,0.930862
80,Thursday,14,person,0.845535
31,Friday,14,person,0.331812
69,Thursday,14,person,0.970688
44,Thursday,14,person,0.598688
80,Thursday,14,person,0.331812
29,Thursday,14,person,0.268941
81,Thursday,14,person,0.908877
