interval,day,week,classifier,score
43,Thursday,14,person,0.28905
28,Thursday,14,person,0.475021
44,Thursday,14,person,0.268941
42,Thursday,14,person,0.377541
29,Thursday,14,person,0.985226
29,Thursday,14,person,0.973403
43,Thursday,14,person,0.331812
42,Thursday,14,person,0.310026
27,Thursday,14,person,0.450166
74,Thursday,14,person,0.998499
44,Thursday,14,person,0.354344
44,Thursday,14,person,0.999447
29,Thursday,14,person,0.574443
29,Thursday,14,person,0.668188
75,Thursday,14,person,0.990048
32,Thursday,14,person,0.880797
75,Thursday,14,person,0.425557
46,Thursday,14,person,0.268941
41,Thursday,14,person,0.331812
77,Thursday,14,person,0.524979
28,Thursday,14,person,0.425557
79,Thursday,14,person,0.310026
42,Thursday,14,person,0.5
29,Thursday,14,person,0.930862
29,Thursday,14,person,0.268941
83,Thursday,14,person,0.900249
86,Thursday,14,person,0.994514
40,Thursday,14,person,0.401312
43,Thursday,14,person,0.28905
59,Thursday,14,person,0.377541
42,Thursday,14,person,0.268941
44,Thursday,14,person,0.598688
44,Thursday,14,person,0.668188
64,Thursday,14,person,0.354344
65,Thursday,14,person,0.331812
44,Thursday,14,person,0.475021
44,Thursday,14,person,0.425557
64,Thursday,14,person,0.689974
60,Thursday,14,person,0.401312
44,Thursday,14,person,0.731059
26,Friday,14,person,0.999389
66,Thursday,14,person,0.28905
45,Thursday,14,person,0.268941
28,Friday,14,person,0.890903
71,Thursday,14,person,0.268941
66,Thursday,14,person,0.310026
29,Friday,14,person,0.768525
31,Friday,14,person,0.331812
64,Thursday,14,person,0.710949
64,Thursday,14,person,0.354344
67,Thursday,14,person,0.310026
70,Thursday,14,person,0.990048
72,Thursday,14,person,0.354344
69,Thursday,14,person,0.970688
64,Thursday,14,person,0.354344
71,Thursday,14,person,0.5
64,Thursday,14,person,0.992608
70,Thursday,14,person,0.869892
72,Thursday,14,person,0.645656
71,Thursday,14,person,0.425557
72,Thursday,14,person,0.450166
54,Thursday,14,person,0.310026
71,Thursday,14,person,0.668188
72,Thursday,14,person,0.930862
54,Thursday,14,person,0.331812
74,Thursday,14,person,0.310026
80,Thursday,14,person,0.28905
71,Thursday,14,person,0.549834
72,Thursday,14,person,0.401312
59,Thursday,14,person,0.310026
67,Thursday,14,person,0.645656
40,Friday,14,person,0.28905
77,Thursday,14,person,0.598688
73,Thursday,14,person,0.450166
72,Thursday,14,person,0.524979
40,Friday,14,person,0.450166
81,Thursday,14,person,0.964429
86,Thursday,14,person,0.937027
63,Thursday,14,person,0.377541
78,Thursday,14,person,0.310026
74,Thursday,14,person,0.475021
73,Thursday,14,person,0.549834
69,Thursday,14,person,0.967705
63,Thursday,14,person,0.450166
73,Thursday,14,person,0.990048
74,Thursday,14,person,0.967705
77,Thursday,14,person,0.622459
63,Thursday,14,person,0.401312
78,Thursday,14,person,0.401312
75,Thursday,14,person,0.645656
40,Friday,14,person,0.425557
64,Thursday,14,person,0.869892
77,Thursday,14,person,0.942676
66,Thursday,14,person,0.999447
74,Thursday,14,person,0.978119
78,Thursday,14,person,0.869892
79,Thursday,14,person,0.450166
65,Thursday,14,person,0.310026
44,Friday,14,person,0.985226
92,Thursday,14,person,0.310026
46,Friday,14,person,0.924142
74,Thursday,14,person,0.908877
78,Thursday,14,person,0.331812
80,Thursday,14,person,0.28905
81,Thursday,14,person,0.475021
75,Thursday,14,person,0.331812
79,Thursday,14,person,0.987872
78,Thursday,14,person,0.668188
29,Friday,14,person,0.524979
71,Thursday,14,person,0.28905
81,Thursday,14,person,0.354344
80,Thursday,14,person,0.845535
81,Thursday,14,person,0.450166
80,Thursday,14,person,0.331812
70,Thursday,14,person,0.268941
80,Thursday,14,person,0.817574
71,Thursday,14,person,0.967705
71,Thursday,14,person,0.268941
81,Thursday,14,person,0.28905
87,Thursday,14,person,0.331812
81,Thursday,14,person,0.908877
71,Thursday,14,person,0.331812
31,Friday,14,person,0.982014
87,Thursday,14,person,0.28905
82,Thursday,14,person,0.377541
86,Thursday,14,person,0.845535
82,Thursday,14,person,0.524979
72,Thursday,14,person,0.331812
72,Thursday,14,person,0.574443
72,Thursday,14,person,0.5
32,Friday,14,person,0.832018
72,Thursday,14,person,0.354344
87,Thursday,14,person,0.768525
28,Friday,14,person,0.28905
72,Thursday,14,person,0.99593
74,Thursday,14,person,0.987872
29,Friday,14,person,0.5
35,Friday,14,person,0.310026
73,Thursday,14,person,0.997975
74,Thursday,14,person,0.5
87,Thursday,14,person,0.973403
73,Thursday,14,person,0.524979
65,Friday,14,person,0.75026
75,Thursday,14,person,0.5
38,Friday,14,person,0.998887
