classifier,score,year,month,day,hour,minute,second,seqno
Storm,0.543805,2016,04,05,21,54,41,388-01
Storm,0.59183,2016,04,06,07,07,16,426-00
Storm,0.621843,2016,04,03,09,02,51,86-01
Storm,0.513319,2016,04,03,09,13,10,94-00
Storm,0.514818,2016,04,03,09,24,57,105-00
Storm,0.564087,2016,04,04,17,57,22,598-01
Storm,0.561187,2016,04,05,19,48,15,344-01
Storm,0.547923,2016,04,06,07,10,59,429-00
Storm,0.582829,2016,04,03,08,30,22,68-01
Storm,0.505854,2016,04,04,18,09,07,605-01
Storm,0.616582,2016,04,05,06,16,05,73-00
Storm,0.573051,2016,04,05,09,14,01,155-00
Storm,0.518233,2016,04,06,09,40,03,528-00
Storm,0.540886,2016,04,07,06,27,15,65-00
Storm,0.533379,2016,04,03,08,14,50,67-00
Storm,0.508705,2016,04,03,09,19,41,100-00
Storm,0.521122,2016,04,04,09,06,45,464-01
Storm,0.566982,2016,04,05,06,26,53,81-01
Storm,0.579072,2016,04,05,09,40,31,169-00
Storm,0.514312,2016,04,06,09,36,01,524-00
Storm,0.515051,2016,04,03,08,48,28,72-01
Stove,0.946745,2016,04,02,21,03,13,13-00
Stove,0.94439,2016,04,02,21,13,13,18-00
Stove,0.956595,2016,04,02,21,18,31,19-00
Stove,0.949464,2016,04,02,21,19,08,20-01
Stove,0.947778,2016,04,02,21,21,29,21-01
Stove,0.956794,2016,04,02,23,27,05,35-00
Stove,0.957877,2016,04,02,23,28,05,36-00
Stove,0.95981,2016,04,02,23,29,07,37-00
Stove,0.953727,2016,04,03,06,59,53,46-00
Stove,0.96043,2016,04,03,07,02,44,47-01
Stove,0.948355,2016,04,03,07,07,29,48-00
Stove,0.964609,2016,04,03,07,40,46,55-00
Stove,0.962679,2016,04,03,07,46,49,62-00
Stove,0.954473,2016,04,03,08,48,28,72-01
Stove,0.954385,2016,04,03,12,27,08,171-00
Stove,0.969248,2016,04,03,13,59,00,218-01
Stove,0.956704,2016,04,03,13,59,21,219-00
Stove,0.96488,2016,04,03,13,59,49,220-01
Stove,0.973233,2016,04,03,14,01,23,221-01
Stove,0.968382,2016,04,03,14,01,49,222-01
Stove,0.968806,2016,04,03,14,02,42,223-00
Stove,0.969532,2016,04,03,14,03,20,224-01
Stove,0.963019,2016,04,03,14,25,05,237-01
Stove,0.965217,2016,04,03,14,47,17,253-00
Stove,0.957107,2016,04,03,15,48,57,278-01
Stove,0.969183,2016,04,03,15,49,57,280-00
Stove,0.963147,2016,04,03,15,55,21,284-00
Stove,0.963307,2016,04,03,16,03,02,288-00
Stove,0.959617,2016,04,03,17,39,24,301-01
Stove,0.971414,2016,04,03,18,00,37,306-00
Stove,0.966954,2016,04,03,19,20,33,335-01
Stove,0.963361,2016,04,03,19,22,30,338-01
Stove,0.960635,2016,04,03,19,46,17,341-01
Stove,0.951554,2016,04,03,19,49,19,343-00
Stove,0.939665,2016,04,03,19,50,21,344-00
Stove,0.950069,2016,04,03,19,56,19,346-00
Stove,0.936366,2016,04,03,20,05,30,347-01
Stove,0.915158,2016,04,03,20,07,56,348-01
Stove,0.886258,2016,04,03,20,09,17,349-00
Stove,0.921908,2016,04,03,20,10,23,350-00
Stove,0.931699,2016,04,03,20,14,01,353-00
Stove,0.954693,2016,04,03,20,17,52,356-00
Stove,0.937618,2016,04,03,20,30,25,361-01
Stove,0.95128,2016,04,03,20,44,39,365-00
Stove,0.942866,2016,04,03,20,47,48,366-00
Stove,0.944151,2016,04,03,20,50,41,369-01
Stove,0.953105,2016,04,03,20,58,31,372-00
Stove,0.953474,2016,04,03,21,05,31,373-01
Stove,0.939861,2016,04,03,21,08,38,375-01
Stove,0.921133,2016,04,03,21,28,11,377-00
Stove,0.904025,2016,04,03,21,30,42,378-00
Stove,0.946326,2016,04,03,21,50,18,379-00
Stove,0.9336,2016,04,03,21,59,49,380-01
Stove,0.922626,2016,04,03,22,01,22,381-00
Stove,0.939063,2016,04,03,22,17,41,382-00
Stove,0.925315,2016,04,04,06,32,41,399-01
Stove,0.866898,2016,04,04,06,33,26,400-00
Stove,0.933935,2016,04,04,06,34,21,401-01
Stove,0.894267,2016,04,04,06,39,01,403-01
Stove,0.938246,2016,04,04,06,41,16,404-00
Stove,0.962078,2016,04,04,08,18,24,439-01
Stove,0.956815,2016,04,04,08,20,06,442-00
Stove,0.963052,2016,04,04,08,21,13,445-00
Stove,0.957837,2016,04,04,08,25,23,448-01
Stove,0.961997,2016,04,04,08,27,50,449-00
Stove,0.959045,2016,04,04,08,28,46,450-01
Stove,0.963913,2016,04,04,08,34,29,451-00
Stove,0.959595,2016,04,04,08,34,45,452-01
Stove,0.967191,2016,04,04,08,35,26,453-00
Stove,0.965721,2016,04,04,08,38,52,454-01
Stove,0.963048,2016,04,04,08,40,36,455-01
Stove,0.961255,2016,04,04,08,48,57,456-01
Stove,0.962006,2016,04,04,08,49,26,457-00
Stove,0.963608,2016,04,04,08,50,42,458-01
Stove,0.961369,2016,04,04,08,53,58,459-00
Stove,0.967061,2016,04,04,09,10,10,468-00
Stove,0.968414,2016,04,04,09,10,29,469-00
Stove,0.965074,2016,04,04,09,11,26,470-01
Stove,0.959356,2016,04,04,09,30,58,473-01
Stove,0.937893,2016,04,04,09,57,54,491-01
Stove,0.946075,2016,04,04,09,59,29,493-01
Stove,0.963091,2016,04,04,10,37,52,505-00
Stove,0.952636,2016,04,04,10,39,28,507-01
Stove,0.959916,2016,04,04,10,43,33,508-00
Stove,0.963224,2016,04,04,10,53,37,515-00
Stove,0.96519,2016,04,04,11,10,15,520-00
Stove,0.966936,2016,04,04,11,12,02,521-01
Stove,0.962426,2016,04,04,11,26,45,522-00
Stove,0.964432,2016,04,04,11,29,39,523-00
Stove,0.96345,2016,04,04,11,31,32,524-00
Stove,0.964403,2016,04,04,12,15,51,525-00
Stove,0.962307,2016,04,04,12,16,06,526-00
Stove,0.959503,2016,04,04,13,05,03,530-01
Stove,0.958925,2016,04,04,13,10,56,531-00
Stove,0.969914,2016,04,04,14,01,30,534-01
Stove,0.969293,2016,04,04,14,03,28,535-00
Stove,0.968545,2016,04,04,14,09,11,539-00
Stove,0.969572,2016,04,04,14,09,21,540-01
Stove,0.969127,2016,04,04,14,09,52,541-00
Stove,0.969005,2016,04,04,14,10,51,543-01
Stove,0.969355,2016,04,04,14,14,02,545-00
Stove,0.96345,2016,04,04,14,15,15,547-01
Stove,0.967016,2016,04,04,14,16,33,548-00
Stove,0.969137,2016,04,04,14,18,14,550-00
Stove,0.964223,2016,04,04,14,25,25,554-01
Stove,0.963135,2016,04,04,15,21,35,557-01
Stove,0.968007,2016,04,04,15,22,10,558-00
Stove,0.970248,2016,04,04,15,46,27,560-01
Stove,0.967552,2016,04,04,15,47,17,561-00
Stove,0.96369,2016,04,04,16,21,05,574-01
Stove,0.962004,2016,04,04,16,23,08,575-01
Stove,0.959208,2016,04,04,16,23,42,576-01
Stove,0.962839,2016,04,04,16,25,59,580-00
Stove,0.95914,2016,04,04,16,31,22,582-00
Stove,0.957949,2016,04,04,16,32,22,583-00
Stove,0.961747,2016,04,04,16,33,09,584-01
Stove,0.950731,2016,04,04,16,33,56,585-01
Stove,0.960632,2016,04,04,16,34,10,586-01
Stove,0.959846,2016,04,04,16,42,45,591-01
Stove,0.965039,2016,04,04,16,48,37,593-00
Stove,0.952378,2016,04,04,19,39,23,642-00
Stove,0.953929,2016,04,04,19,44,34,643-00
Stove,0.948903,2016,04,04,19,45,17,644-00
Stove,0.920649,2016,04,04,19,48,07,645-01
Stove,0.925013,2016,04,04,19,53,05,646-00
Stove,0.8987,2016,04,04,19,54,49,647-01
Stove,0.894082,2016,04,04,19,55,46,648-00
Stove,0.922723,2016,04,04,19,57,34,649-00
Stove,0.933341,2016,04,04,19,59,39,650-00
Stove,0.904777,2016,04,04,20,18,40,653-01
Stove,0.937514,2016,04,04,20,21,06,654-00
Stove,0.930393,2016,04,04,20,21,32,655-01
Stove,0.931147,2016,04,04,20,22,41,656-00
Stove,0.94495,2016,04,04,20,23,05,657-01
Stove,0.939405,2016,04,04,20,23,33,658-01
Stove,0.932869,2016,04,04,20,24,47,659-01
Stove,0.922044,2016,04,04,20,28,25,660-01
Stove,0.928272,2016,04,04,20,29,06,661-00
Stove,0.914956,2016,04,04,20,29,36,662-00
Stove,0.940194,2016,04,04,20,30,06,663-00
Stove,0.904566,2016,04,04,20,30,40,664-01
Stove,0.929508,2016,04,04,20,36,40,01-01
Stove,0.9099,2016,04,04,20,49,30,02-00
Stove,0.931238,2016,04,04,20,49,57,03-00
Stove,0.909404,2016,04,04,20,50,22,04-00
Stove,0.926275,2016,04,04,20,57,22,05-00
Stove,0.951746,2016,04,04,20,58,07,06-01
Stove,0.939548,2016,04,04,20,59,21,07-01
Stove,0.923686,2016,04,04,21,00,53,08-01
Stove,0.947597,2016,04,04,21,04,45,10-01
Stove,0.941208,2016,04,04,21,08,48,11-01
Stove,0.898775,2016,04,04,21,09,53,12-01
Stove,0.92989,2016,04,04,21,10,41,13-01
Stove,0.918294,2016,04,04,21,19,40,14-01
Stove,0.962096,2016,04,04,21,20,49,15-01
Stove,0.909212,2016,04,04,21,21,19,16-00
Stove,0.887578,2016,04,04,21,25,44,17-01
Stove,0.90257,2016,04,04,21,30,06,18-01
Stove,0.961587,2016,04,04,21,49,11,21-01
Stove,0.963105,2016,04,04,21,49,48,22-01
Stove,0.962302,2016,04,04,21,53,14,25-01
Stove,0.95417,2016,04,04,21,58,46,28-01
Stove,0.961402,2016,04,04,22,01,49,30-00
Stove,0.96059,2016,04,04,22,04,19,31-01
Stove,0.960938,2016,04,04,22,06,31,33-01
Stove,0.961191,2016,04,04,22,09,20,35-00
