classifier,score,id,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second
Graduation,0.525074,20160406161526-607-01,2016,4,6,16,15,26
Graduation,0.508191,20160406173113-658-00,2016,4,6,17,31,13
Graduation,0.579519,20160410095254-361-01,2016,4,10,9,52,54
Graduation,0.635523,20160409175751-188-00,2016,4,9,17,57,51
Graduation,0.537211,20160411202144-57-00,2016,4,11,20,21,44
Graduation,0.552056,20160415211818-1420-01,2016,4,15,21,18,18
Graduation,0.64501,20160416120132-1551-00,2016,4,16,12,1,32
Graduation,0.504762,20160415235309-1462-00,2016,4,15,23,53,9
Graduation,0.554988,20160415215914-1431-01,2016,4,15,21,59,14
Graduation,0.558604,20160418200135-2467-00,2016,4,18,20,1,35
Graduation,0.520466,20160416210843-1830-01,2016,4,16,21,8,43
Graduation,0.559307,20160417152424-2088-00,2016,4,17,15,24,24
Graduation,0.560971,20160417183609-2164-00,2016,4,17,18,36,9
Graduation,0.511746,20160417215156-2248-01,2016,4,17,21,51,56
Graduation,0.550171,20160418180848-2422-01,2016,4,18,18,8,48
Graduation,0.522644,20160418201706-2470-01,2016,4,18,20,17,6
Graduation,0.588118,20160421161904-3274-00,2016,4,21,16,19,4
Graduation,0.55257,20160418202638-2473-01,2016,4,18,20,26,38
Graduation,0.539427,20160422072920-3406-01,2016,4,22,7,29,20
Graduation,0.567885,20160421160949-3268-01,2016,4,21,16,9,49
Graduation,0.587674,20160422221540-3788-00,2016,4,22,22,15,40
Graduation,0.588131,20160422180935-3709-01,2016,4,22,18,9,35
Graduation,0.563326,20160423113232-3881-01,2016,4,23,11,32,32
Graduation,0.564366,20160425154252-36-00,2016,4,25,15,42,52
Graduation,0.536081,20160425091449-4536-01,2016,4,25,9,14,49
Graduation,0.546525,20160427201533-620-01,2016,4,27,20,15,33
Graduation,0.546121,20160403135817-217-01,2016,4,3,13,58,17
Graduation,0.539128,20160405222419-393-00,2016,4,5,22,24,19
Graduation,0.553672,20160405202919-355-01,2016,4,5,20,29,19
Graduation,0.508649,20160407214655-404-00,2016,4,7,21,46,55
Graduation,0.628315,20160413130431-584-01,2016,4,13,13,4,31
Graduation,0.543341,20160412221229-360-00,2016,4,12,22,12,29
Graduation,0.553771,20160413103512-514-01,2016,4,13,10,35,12
Graduation,0.601074,20160416171732-1718-01,2016,4,16,17,17,32
Graduation,0.566264,20160416120158-1552-00,2016,4,16,12,1,58
Graduation,0.542552,20160416153845-1643-01,2016,4,16,15,38,45
Graduation,0.543268,20160416121151-1556-00,2016,4,16,12,11,51
Graduation,0.520388,20160416135202-1610-00,2016,4,16,13,52,2
Graduation,0.556135,20160417183929-2165-00,2016,4,17,18,39,29
