interval,day,classifier,score
74,Friday,person,0.425557
84,Friday,person,0.268941
84,Friday,person,0.310026
86,Friday,person,0.549834
86,Friday,person,0.731059
93,Friday,person,0.310026
93,Friday,person,0.930862
21,Saturday,person,0.331812
29,Saturday,person,0.997975
29,Saturday,person,0.331812
29,Saturday,person,0.354344
30,Saturday,person,0.999389
32,Saturday,person,0.377541
32,Saturday,person,0.28905
33,Saturday,person,0.310026
36,Saturday,person,0.377541
38,Saturday,person,0.310026
40,Saturday,person,0.450166
40,Saturday,person,0.268941
40,Saturday,person,0.994514
41,Saturday,person,0.268941
42,Saturday,person,0.999389
43,Saturday,person,0.970688
44,Saturday,person,0.354344
44,Saturday,person,0.710949
44,Saturday,person,0.475021
44,Saturday,person,0.900249
45,Saturday,person,0.354344
45,Saturday,person,0.425557
45,Saturday,person,0.401312
45,Saturday,person,0.475021
45,Saturday,person,0.377541
45,Saturday,person,0.689974
46,Saturday,person,0.268941
46,Saturday,person,0.310026
46,Saturday,person,0.354344
46,Saturday,person,0.998167
46,Saturday,person,0.99593
46,Saturday,person,0.999389
47,Saturday,person,0.99593
47,Saturday,person,0.5
47,Saturday,person,0.996665
47,Saturday,person,0.956893
47,Saturday,person,0.869892
48,Saturday,person,0.524979
48,Saturday,person,0.858149
48,Saturday,person,0.574443
48,Saturday,person,0.996316
48,Saturday,person,0.268941
48,Saturday,person,0.731059
48,Saturday,person,0.268941
48,Saturday,person,0.354344
48,Saturday,person,0.622459
48,Saturday,person,0.401312
49,Saturday,person,0.268941
49,Saturday,person,0.978119
49,Saturday,person,0.549834
49,Saturday,person,0.978119
50,Saturday,person,0.978119
50,Saturday,person,0.475021
50,Saturday,person,0.524979
50,Saturday,person,0.668188
50,Saturday,person,0.401312
50,Saturday,person,0.310026
50,Saturday,person,0.450166
50,Saturday,person,0.331812
50,Saturday,person,0.817574
50,Saturday,person,0.377541
50,Saturday,person,0.377541
50,Saturday,person,0.331812
50,Saturday,person,0.310026
50,Saturday,person,0.524979
51,Saturday,person,0.998641
51,Saturday,person,0.999089
51,Saturday,person,0.310026
51,Saturday,person,0.998993
51,Saturday,person,0.28905
51,Saturday,person,0.450166
51,Saturday,person,0.450166
51,Saturday,person,0.475021
